0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:20:01 +0600] "GET /Ebook-App/view_books.jsp?bid=5 HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:20:05 +0600] "GET /Ebook-App/view_books.jsp?bid=4 HTTP/1.1" 200 4925
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:20:08 +0600] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 5044
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:20:09 +0600] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 5044
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:20:11 +0600] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 5044
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:26:07 +0600] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 5044
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:26:15 +0600] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 7837
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:26:18 +0600] "GET /Ebook-App/view_books.jsp?bid=5 HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:26:22 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 4442
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:26:24 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 4442
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:27:17 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 4462
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:27:18 +0600] "GET /Ebook-App/view_books.jsp?bid=1 HTTP/1.1" 200 4955
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:27:20 +0600] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:27:21 +0600] "GET /Ebook-App/view_books.jsp?bid=5 HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:36:05 +0600] "POST /Ebook-App/search.jsp HTTP/1.1" 200 5101
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:36:07 +0600] "GET /Ebook-App/view_books.jsp?bid=2 HTTP/1.1" 200 4952
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:36:58 +0600] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:37:02 +0600] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:37:03 +0600] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 7837
